Y Task,19/01/2025,20/01/2025,21/01/2025,22/01/2025,23/01/2025,24/01/2025,25/01/2025,26/01/2025,27/01/2025,28/01/2025,29/01/2025,30/01/2025,31/01/2025,01/02/2025
Supervisor,1111111,8837884,9150226,8837884,8837884,8837884,8837884,9150226,9053378,8320845,9053378,8320845,8320845,8320845
C&N Driver,9570530,9150226,9434252,9168925,9570530,9570530,9570530,9597864,9597864,8837802,9051978,9053378,9053378,9053378
C&N Escort,9053851,9168925,9175557,9053851,000000000,000000000,000000000,9434252,9127472,9434252,9127472,9437517,9437517,9437517
Southern Driver,000000000,9241047,8837884,8837802,9175557,9175557,9175557,9051978,8320845,9597864,9356189,9150226,9150226,9150226
Southern Escort,9518772,9631934,9518772,9631934,1111111,1111111,1111111,9617384,9517593,9617384,9518772,9617384,9617384,9617384
